pokemonID,ability,isHidden
1,overgrow,False
1,chlorophyll,True
2,overgrow,False
2,chlorophyll,True
3,overgrow,False
3,chlorophyll,True
4,blaze,False
4,solar-power,True
5,blaze,False
5,solar-power,True
6,blaze,False
6,solar-power,True
7,torrent,False
7,rain-dish,True
8,torrent,False
8,rain-dish,True
9,torrent,False
9,rain-dish,True
10,shield-dust,False
10,run-away,True
11,shed-skin,False
12,compound-eyes,False
12,tinted-lens,True
13,shield-dust,False
13,run-away,True
14,shed-skin,False
15,swarm,False
15,sniper,True
16,keen-eye,False
16,tangled-feet,False
16,big-pecks,True
17,keen-eye,False
17,tangled-feet,False
17,big-pecks,True
18,keen-eye,False
18,tangled-feet,False
18,big-pecks,True
19,run-away,False
19,guts,False
19,hustle,True
20,run-away,False
20,guts,False
20,hustle,True
21,keen-eye,False
21,sniper,True
22,keen-eye,False
22,sniper,True
23,intimidate,False
23,shed-skin,False
23,unnerve,True
24,intimidate,False
24,shed-skin,False
24,unnerve,True
25,static,False
25,lightning-rod,True
26,static,False
26,lightning-rod,True
27,sand-veil,False
27,sand-rush,True
28,sand-veil,False
28,sand-rush,True
29,poison-point,False
29,rivalry,False
29,hustle,True
30,poison-point,False
30,rivalry,False
30,hustle,True
31,poison-point,False
31,rivalry,False
31,sheer-force,True
32,poison-point,False
32,rivalry,False
32,hustle,True
33,poison-point,False
33,rivalry,False
33,hustle,True
34,poison-point,False
34,rivalry,False
34,sheer-force,True
35,cute-charm,False
35,magic-guard,False
35,friend-guard,True
36,cute-charm,False
36,magic-guard,False
36,unaware,True
37,flash-fire,False
37,drought,True
38,flash-fire,False
38,drought,True
39,cute-charm,False
39,competitive,False
39,friend-guard,True
40,cute-charm,False
40,competitive,False
40,frisk,True
41,inner-focus,False
41,infiltrator,True
42,inner-focus,False
42,infiltrator,True
43,chlorophyll,False
43,run-away,True
44,chlorophyll,False
44,stench,True
45,chlorophyll,False
45,effect-spore,True
46,effect-spore,False
46,dry-skin,False
46,damp,True
47,effect-spore,False
47,dry-skin,False
47,damp,True
48,compound-eyes,False
48,tinted-lens,False
48,run-away,True
49,shield-dust,False
49,tinted-lens,False
49,wonder-skin,True
50,sand-veil,False
50,arena-trap,False
50,sand-force,True
51,sand-veil,False
51,arena-trap,False
51,sand-force,True
52,pickup,False
52,technician,False
52,unnerve,True
53,limber,False
53,technician,False
53,unnerve,True
54,damp,False
54,cloud-nine,False
54,swift-swim,True
55,damp,False
55,cloud-nine,False
55,swift-swim,True
56,vital-spirit,False
56,anger-point,False
56,defiant,True
57,vital-spirit,False
57,anger-point,False
57,defiant,True
58,intimidate,False
58,flash-fire,False
58,justified,True
59,intimidate,False
59,flash-fire,False
59,justified,True
60,water-absorb,False
60,damp,False
60,swift-swim,True
61,water-absorb,False
61,damp,False
61,swift-swim,True
62,water-absorb,False
62,damp,False
62,swift-swim,True
63,synchronize,False
63,inner-focus,False
63,magic-guard,True
64,synchronize,False
64,inner-focus,False
64,magic-guard,True
65,synchronize,False
65,inner-focus,False
65,magic-guard,True
66,guts,False
66,no-guard,False
66,steadfast,True
67,guts,False
67,no-guard,False
67,steadfast,True
68,guts,False
68,no-guard,False
68,steadfast,True
69,chlorophyll,False
69,gluttony,True
70,chlorophyll,False
70,gluttony,True
71,chlorophyll,False
71,gluttony,True
72,clear-body,False
72,liquid-ooze,False
72,rain-dish,True
73,clear-body,False
73,liquid-ooze,False
73,rain-dish,True
74,rock-head,False
74,sturdy,False
74,sand-veil,True
75,rock-head,False
75,sturdy,False
75,sand-veil,True
76,rock-head,False
76,sturdy,False
76,sand-veil,True
77,run-away,False
77,flash-fire,False
77,flame-body,True
78,run-away,False
78,flash-fire,False
78,flame-body,True
79,oblivious,False
79,own-tempo,False
79,regenerator,True
80,oblivious,False
80,own-tempo,False
80,regenerator,True
81,magnet-pull,False
81,sturdy,False
81,analytic,True
82,magnet-pull,False
82,sturdy,False
82,analytic,True
83,keen-eye,False
83,inner-focus,False
83,defiant,True
84,run-away,False
84,early-bird,False
84,tangled-feet,True
85,run-away,False
85,early-bird,False
85,tangled-feet,True
86,thick-fat,False
86,hydration,False
86,ice-body,True
87,thick-fat,False
87,hydration,False
87,ice-body,True
88,stench,False
88,sticky-hold,False
88,poison-touch,True
89,stench,False
89,sticky-hold,False
89,poison-touch,True
90,shell-armor,False
90,skill-link,False
90,overcoat,True
91,shell-armor,False
91,skill-link,False
91,overcoat,True
92,levitate,False
93,levitate,False
94,cursed-body,False
95,rock-head,False
95,sturdy,False
95,weak-armor,True
96,insomnia,False
96,forewarn,False
96,inner-focus,True
97,insomnia,False
97,forewarn,False
97,inner-focus,True
98,hyper-cutter,False
98,shell-armor,False
98,sheer-force,True
99,hyper-cutter,False
99,shell-armor,False
99,sheer-force,True
100,soundproof,False
100,static,False
100,aftermath,True
101,soundproof,False
101,static,False
101,aftermath,True
102,chlorophyll,False
102,harvest,True
103,chlorophyll,False
103,harvest,True
104,rock-head,False
104,lightning-rod,False
104,battle-armor,True
105,rock-head,False
105,lightning-rod,False
105,battle-armor,True
106,limber,False
106,reckless,False
106,unburden,True
107,keen-eye,False
107,iron-fist,False
107,inner-focus,True
108,own-tempo,False
108,oblivious,False
108,cloud-nine,True
109,levitate,False
109,neutralizing-gas,False
109,stench,True
110,levitate,False
110,neutralizing-gas,False
110,stench,True
111,lightning-rod,False
111,rock-head,False
111,reckless,True
112,lightning-rod,False
112,rock-head,False
112,reckless,True
113,natural-cure,False
113,serene-grace,False
113,healer,True
114,chlorophyll,False
